job_code,job_title,job_title_en,category_code,sector_code,sector_name,adjustment_type,onet_source,reliability,total,human_centric_pct,ai_assisted_pct,agentic_potential_pct,high_automation_pct,mixed_pct,dominant_category,adjustment_applied
42324-103,Abfallbeauftragte/r,Waste Management Officer,42324,4,IT & Science,none,,HIGH,12.0,58.3,41.7,0.0,0.0,0.0,Human-Centric,none
42313-103,Abfallberater/in,Waste Consultant,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
41234-107,Agrarbiologe/-biologin,Agricultural Biologist,41234,4,IT & Science,none,,HIGH,13.0,61.5,30.8,7.7,0.0,0.0,Human-Centric,none
41184-104,Aktuar/in,Actuary,41184,4,IT & Science,onet_social_added,Actuaries,ADJUSTED_ONET,6.0,22.9,77.1,0.0,0.0,0.0,AI-Assisted,onet_soft_skill
41484-114,Akustiker/in,Acoustician,41484,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
41384-104,Analytiker/in - Chemie,Analyst - Chemistry,41384,4,IT & Science,none,,HIGH,10.0,80.0,20.0,0.0,0.0,0.0,Human-Centric,none
41384-101,Anorganiker/in,Inorganic Chemist,41384,4,IT & Science,none,,HIGH,10.0,80.0,20.0,0.0,0.0,0.0,Human-Centric,none
43224-100,Anwendungsberater/in,Application Consultant,43224,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
43423-102,Anwendungsprogrammierer/in,Application Programmer,43423,4,IT & Science,none,,HIGH,11.0,27.3,54.5,18.2,0.0,0.0,AI-Assisted,none
43343-102,Anwendungssystemadministrator/in,Application System Administrator,43343,4,IT & Science,none,,HIGH,13.0,53.8,38.5,0.0,7.7,0.0,Human-Centric,none
43224-102,Anwendungssystemberater/in,Application System Consultant,43224,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
41384-105,Arzneimittelchemiker/in,Pharmaceutical Chemist,41384,4,IT & Science,none,,HIGH,10.0,80.0,20.0,0.0,0.0,0.0,Human-Centric,none
43152-101,Assistent/in - Informatik (Medieninformatik),Assistant - Computer Science (Media Informatics),43152,4,IT & Science,none,,HIGH,14.0,28.6,50.0,21.4,0.0,0.0,AI-Assisted,none
43412-102,Assistent/in - Informatik (Softwaretechnik),Assistant - Computer Science (Software Engineering),43412,4,IT & Science,onet_social_added,Computer Programmers,ADJUSTED_ONET,6.0,19.9,66.7,13.4,0.0,0.0,AI-Assisted,onet_soft_skill
43112-116,Assistent/in - Informatik (Wirtschaftsinformatik),Assistant - Computer Science (Business Informatics),43112,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43102-114,Assistent/in - Informatik (allgemeine Informatik),Assistant - Computer Science (General Computer Science),43102,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43122-103,Assistent/in - Informatik (technische Informatik),Assistant - Computer Science (Technical Computer Science),43122,4,IT & Science,none,,HIGH,10.0,70.0,30.0,0.0,0.0,0.0,Human-Centric,none
41484-115,"Astrophysiker/in, Astronom/in","Astrophysicist, Astronomer",41484,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
