task_id,occupation,berufenet_id,sector,label_5cat,task_text_en,task_text_de,skill_1_id,skill_1_en,skill_1_de,skill_1_rel,skill_2_id,skill_2_en,skill_2_de,skill_2_rel,skill_3_id,skill_3_en,skill_3_de,skill_3_rel,n_skills
BN_0001,Waste Officer,15355.0,other,stays_with_you,Check how hazardous waste is handled and stored in companies.,"Kontrollieren, wie gefährliche Abfälle in Betrieben behandelt und gelagert werden.",SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.95,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.85,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.8,3
BN_0002,Waste Officer,15355.0,other,high_ai_potential,Check if businesses comply with waste laws.,"Überprüfen, ob Betriebe die Abfallgesetze einhalten.",SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.95,SK-OPS-001,Quality Control & Inspection,Qualitätskontrolle und Inspektion,0.8,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.75,3
BN_0003,Waste Officer,15355.0,other,sensitive,Monitor whether companies comply with environmental regulations.,"Überwachen, ob Betriebe die Umweltvorschriften einhalten.",SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.85,SK-OPS-011,Environmental Management,Umweltmanagement,0.75,3
BN_0004,Waste Officer,15355.0,other,stays_with_you,Advise on how companies can avoid and manage waste.,"Beraten, wie Unternehmen Abfälle vermeiden und verwalten können.",SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.75,3
BN_0005,Waste Officer,15355.0,other,ai_assisted,Inform about the results achieved and where there are problems.,"Informieren, welche Ergebnisse erzielt wurden und wo es Probleme gibt.",SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.85,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.75,SK-COG-002,Problem Solving,Problemlösung,0.7,3
BN_0006,Waste Officer,15355.0,other,ai_assisted,Identify causes of environmental problems and suggest solutions.,Ursachen für Umweltprobleme erkennen und Lösungen vorschlagen.,SK-COG-002,Problem Solving,Problemlösung,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-COG-010,Risk Assessment,Risikobewertung,0.7,3
BN_0007,Waste Officer,15355.0,other,ai_assisted,Develop and propose concepts for waste reduction and recycling.,Konzepte zur Abfallvermeidung und zum Recycling entwickeln und vorschlagen.,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.85,SK-OPS-011,Environmental Management,Umweltmanagement,0.8,SK-COG-005,Creative Thinking,Kreatives Denken,0.75,3
BN_0008,Waste Officer,15355.0,other,ai_assisted,Implement measures for environmental protection and waste reduction in the company.,Maßnahmen zum Umweltschutz und zur Abfallvermeidung im Betrieb umsetzen.,SK-OPS-011,Environmental Management,Umweltmanagement,0.95,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.85,SK-OPS-002,Operations Management,Betriebsmanagement,0.75,3
BN_0009,Waste Officer,15355.0,other,automatable,"Document measurements, controls, and environmental data.","Dokumentieren von Messungen, Kontrollen und Umweltdaten.",SK-OPS-010,Record Keeping & Documentation,Aktenführung und Dokumentation,0.9,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.8,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.75,3
BN_0010,Waste Officer,15355.0,other,automatable,Create reports on measures for waste reduction.,Berichte über Maßnahmen zur Abfallvermeidung erstellen.,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.8,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.75,3
