task_id,occupation,berufenet_id,occupation_de,sector,task_text,paraphrase_de,label_5cat,PHYS,TPS,SIR,SPEC,VERIF,STD
BN_0001,Waste Officer,15355.0,Duty-Officer,other,Check how hazardous waste is handled and stored in companies.,"Kontrollieren, wie gefährliche Abfälle in Betrieben behandelt und gelagert werden.",human_led,1,0,0,2,2,2
BN_0002,Waste Officer,15355.0,Duty-Officer,other,Check if businesses comply with waste laws.,"Überprüfen, ob Betriebe die Abfallgesetze einhalten.",high_ai_potential,0,0,0,2,2,2
BN_0003,Waste Officer,15355.0,Duty-Officer,other,Monitor whether companies comply with environmental regulations.,"Überwachen, ob Betriebe die Umweltvorschriften einhalten.",sensitive,0,0,0,2,2,2
BN_0004,Waste Officer,15355.0,Duty-Officer,other,Advise on how companies can avoid and manage waste.,"Beraten, wie Unternehmen Abfälle vermeiden und verwalten können.",human_led,0,1,1,1,1,1
BN_0005,Waste Officer,15355.0,Duty-Officer,other,Inform about the results achieved and where there are problems.,"Informieren, welche Ergebnisse erzielt wurden und wo es Probleme gibt.",ai_assisted,0,0,0,1,1,1
BN_0006,Waste Officer,15355.0,Duty-Officer,other,Identify causes of environmental problems and suggest solutions.,Ursachen für Umweltprobleme erkennen und Lösungen vorschlagen.,ai_assisted,0,0,0,1,1,1
BN_0007,Waste Officer,15355.0,Duty-Officer,other,Develop and propose concepts for waste reduction and recycling.,Konzepte zur Abfallvermeidung und zum Recycling entwickeln und vorschlagen.,ai_assisted,0,0,0,2,1,1
BN_0008,Waste Officer,15355.0,Duty-Officer,other,Implement measures for environmental protection and waste reduction in the company.,Maßnahmen zum Umweltschutz und zur Abfallvermeidung im Betrieb umsetzen.,ai_assisted,0,0,0,1,1,1
BN_0009,Waste Officer,15355.0,Duty-Officer,other,"Document measurements, controls, and environmental data.","Dokumentieren von Messungen, Kontrollen und Umweltdaten.",automatable,0,0,0,3,3,3
BN_0010,Waste Officer,15355.0,Duty-Officer,other,Create reports on measures for waste reduction.,Berichte über Maßnahmen zur Abfallvermeidung erstellen.,automatable,0,0,0,3,2,3
BN_0011,Waste Consultant,137138.0,Data-Consultant,other,Advise households and businesses on waste disposal and environmental protection.,Haushalte und Unternehmen in Fragen zur Abfallentsorgung und zum Umweltschutz beraten.,human_led,0,1,1,1,1,1
BN_0012,Waste Consultant,137138.0,Data-Consultant,other,Conduct workshops and training in companies.,Workshops und Schulungen in Unternehmen durchführen.,human_led,0,0,1,1,1,1
BN_0013,Waste Consultant,137138.0,Data-Consultant,other,Explain laws on waste management and environmental protection.,Gesetze zur Abfallwirtschaft und zum Umweltschutz erklären.,ai_assisted,0,0,0,1,1,1
BN_0014,Waste Consultant,137138.0,Data-Consultant,other,give lectures and seminars on environmental protection and manage online offers.,Vorträge und Seminare zum Umweltschutz halten und Internetangebote betreuen.,human_led,0,0,1,1,1,1
BN_0015,Waste Consultant,137138.0,Data-Consultant,other,evaluate disposal offers based on environmental aspects.,Entsorgungsangebote nach Umweltaspekten bewerten.,ai_assisted,0,0,0,2,1,1
